&#0;	�		%00
&#806;	̦	̦	%u0326
&#807;	̧	̧	%u0327
&#808;	̨	̨	%u0328
&#809;	̩	̩	%u0329
&#810;	̪	̪	%u032A
&#811;	̫	̫	%u032B
&#812;	̬	̬	%u032C
&#813;	̭	̭	%u032D
&#814;	̮	̮	%u032E
&#815;	̯	̯	%u032F
&#816;	̰	̰	%u0330
&#817;	̱	̱	%u0331
&#818;	̲	̲	%u0332
&#819;	̳	̳	%u0333
&#820;	̴	̴	%u0334
&#821;	̵	̵	%u0335
&#822;	̶	̶	%u0336
&#823;	̷	̷	%u0337
&#824;	̸	̸	%u0338
&#825;	̹	̹	%u0339
&#826;	̺	̺	%u033A
&#827;	̻	̻	%u033B
&#828;	̼	̼	%u033C
&#829;	̽	̽	%u033D
&#830;	̾	̾	%u033E
&#831;	̿	̿	%u033F
&#832;	̀	̀	%u0340
&#833;	́	́	%u0341
&#834;	͂	͂	%u0342
&#835;	̓	̓	%u0343
&#836;	̈́	̈́	%u0344
&#837;	ͅ	ͅ	%u0345
&#838;	͆	͆	%u0346
&#839;	͇	͇	%u0347
&#840;	͈	͈	%u0348
&#841;	͉	͉	%u0349
&#842;	͊	͊	%u034A
&#843;	͋	͋	%u034B
&#844;	͌	͌	%u034C
&#845;	͍	͍	%u034D
&#846;	͎	͎	%u034E
&#847;	͏	͏	%u034F
&#848;	͐	͐	%u0350
&#849;	͑	͑	%u0351
&#850;	͒	͒	%u0352
&#851;	͓	͓	%u0353
&#852;	͔	͔	%u0354
&#853;	͕	͕	%u0355
&#854;	͖	͖	%u0356
&#855;	͗	͗	%u0357
&#856;	͘	͘	%u0358
&#857;	͙	͙	%u0359
&#858;	͚	͚	%u035A
&#859;	͛	͛	%u035B
&#860;	͜	͜	%u035C
&#861;	͝	͝	%u035D
&#862;	͞	͞	%u035E
&#863;	͟	͟	%u035F
&#864;	͠	͠	%u0360
&#865;	͡	͡	%u0361
&#866;	͢	͢	%u0362
&#867;	ͣ	ͣ	%u0363
&#868;	ͤ	ͤ	%u0364
&#869;	ͥ	ͥ	%u0365
&#870;	ͦ	ͦ	%u0366
&#871;	ͧ	ͧ	%u0367
&#872;	ͨ	ͨ	%u0368
&#873;	ͩ	ͩ	%u0369
&#874;	ͪ	ͪ	%u036A
&#875;	ͫ	ͫ	%u036B
&#876;	ͬ	ͬ	%u036C
&#877;	ͭ	ͭ	%u036D
&#878;	ͮ	ͮ	%u036E
&#879;	ͯ	ͯ	%u036F
&#880;	Ͱ	Ͱ	%u0370
&#881;	ͱ	ͱ	%u0371
&#882;	Ͳ	Ͳ	%u0372
&#883;	ͳ	ͳ	%u0373
&#884;	ʹ	ʹ	%u0374
&#885;	͵	͵	%u0375
&#886;	Ͷ	Ͷ	%u0376
&#887;	ͷ	ͷ	%u0377
&#888;	͸	͸	%u0378
&#889;	͹	͹	%u0379
&#890;	ͺ	ͺ	%u037A
&#891;	ͻ	ͻ	%u037B
&#892;	ͼ	ͼ	%u037C
&#893;	ͽ	ͽ	%u037D
&#894;	;	;	%u037E
&#895;	Ϳ	Ϳ	%u037F
&#896;	΀	΀	%u0380
&#897;	΁	΁	%u0381
&#898;	΂	΂	%u0382
&#899;	΃	΃	%u0383
&#900;	΄	΄	%u0384
&#901;	΅	΅	%u0385
&#902;	Ά	Ά	%u0386
&#903;	·	·	%u0387
&#904;	Έ	Έ	%u0388
&#905;	Ή	Ή	%u0389
&#906;	Ί	Ί	%u038A
&#907;	΋	΋	%u038B
&#908;	Ό	Ό	%u038C
&#909;	΍	΍	%u038D
&#910;	Ύ	Ύ	%u038E
&#911;	Ώ	Ώ	%u038F
&#912;	ΐ	ΐ	%u0390
&#913;	Α	Α	%u0391
&#914;	Β	Β	%u0392
&#915;	Γ	Γ	%u0393
&#916;	Δ	Δ	%u0394
&#917;	Ε	Ε	%u0395
&#918;	Ζ	Ζ	%u0396
&#919;	Η	Η	%u0397
&#920;	Θ	Θ	%u0398
&#921;	Ι	Ι	%u0399
&#922;	Κ	Κ	%u039A
&#923;	Λ	Λ	%u039B
&#924;	Μ	Μ	%u039C
&#925;	Ν	Ν	%u039D
&#926;	Ξ	Ξ	%u039E
&#927;	Ο	Ο	%u039F
&#928;	Π	Π	%u03A0
&#929;	Ρ	Ρ	%u03A1
&#930;	΢	΢	%u03A2
&#931;	Σ	Σ	%u03A3
&#932;	Τ	Τ	%u03A4
&#933;	Υ	Υ	%u03A5
&#934;	Φ	Φ	%u03A6
&#935;	Χ	Χ	%u03A7
&#936;	Ψ	Ψ	%u03A8
&#937;	Ω	Ω	%u03A9
&#938;	Ϊ	Ϊ	%u03AA
&#939;	Ϋ	Ϋ	%u03AB
&#940;	ά	ά	%u03AC
&#941;	έ	έ	%u03AD
&#942;	ή	ή	%u03AE
&#943;	ί	ί	%u03AF
&#944;	ΰ	ΰ	%u03B0
&#945;	α	α	%u03B1
&#946;	β	β	%u03B2
&#947;	γ	γ	%u03B3
&#948;	δ	δ	%u03B4
&#949;	ε	ε	%u03B5
&#950;	ζ	ζ	%u03B6
&#951;	η	η	%u03B7
&#952;	θ	θ	%u03B8
&#953;	ι	ι	%u03B9
&#954;	κ	κ	%u03BA
&#955;	λ	λ	%u03BB
&#956;	μ	μ	%u03BC
&#957;	ν	ν	%u03BD
&#958;	ξ	ξ	%u03BE
&#959;	ο	ο	%u03BF
&#960;	π	π	%u03C0
&#961;	ρ	ρ	%u03C1
&#962;	ς	ς	%u03C2
&#963;	σ	σ	%u03C3
&#964;	τ	τ	%u03C4
&#965;	υ	υ	%u03C5
&#966;	φ	φ	%u03C6
&#967;	χ	χ	%u03C7
&#968;	ψ	ψ	%u03C8
&#969;	ω	ω	%u03C9
&#970;	ϊ	ϊ	%u03CA
&#971;	ϋ	ϋ	%u03CB
&#972;	ό	ό	%u03CC
&#973;	ύ	ύ	%u03CD
&#974;	ώ	ώ	%u03CE
&#975;	Ϗ	Ϗ	%u03CF
&#976;	ϐ	ϐ	%u03D0
&#977;	ϑ	ϑ	%u03D1
&#978;	ϒ	ϒ	%u03D2
&#979;	ϓ	ϓ	%u03D3
&#980;	ϔ	ϔ	%u03D4
&#981;	ϕ	ϕ	%u03D5
&#982;	ϖ	ϖ	%u03D6
&#983;	ϗ	ϗ	%u03D7
&#984;	Ϙ	Ϙ	%u03D8
&#985;	ϙ	ϙ	%u03D9
&#986;	Ϛ	Ϛ	%u03DA
&#987;	ϛ	ϛ	%u03DB
&#988;	Ϝ	Ϝ	%u03DC
&#989;	ϝ	ϝ	%u03DD
&#990;	Ϟ	Ϟ	%u03DE
&#991;	ϟ	ϟ	%u03DF
&#992;	Ϡ	Ϡ	%u03E0
&#993;	ϡ	ϡ	%u03E1
&#994;	Ϣ	Ϣ	%u03E2
&#995;	ϣ	ϣ	%u03E3
&#996;	Ϥ	Ϥ	%u03E4
&#997;	ϥ	ϥ	%u03E5
&#998;	Ϧ	Ϧ	%u03E6
&#999;	ϧ	ϧ	%u03E7
&#1000;	Ϩ	Ϩ	%u03E8
&#1001;	ϩ	ϩ	%u03E9
&#1002;	Ϫ	Ϫ	%u03EA
&#1003;	ϫ	ϫ	%u03EB
&#1004;	Ϭ	Ϭ	%u03EC
&#1005;	ϭ	ϭ	%u03ED
&#1006;	Ϯ	Ϯ	%u03EE
&#1007;	ϯ	ϯ	%u03EF
&#1008;	ϰ	ϰ	%u03F0
&#1009;	ϱ	ϱ	%u03F1
&#1010;	ϲ	ϲ	%u03F2
&#1011;	ϳ	ϳ	%u03F3
&#1012;	ϴ	ϴ	%u03F4
&#1013;	ϵ	ϵ	%u03F5
&#1014;	϶	϶	%u03F6
&#1015;	Ϸ	Ϸ	%u03F7
&#1016;	ϸ	ϸ	%u03F8
&#1017;	Ϲ	Ϲ	%u03F9
&#1018;	Ϻ	Ϻ	%u03FA
&#1019;	ϻ	ϻ	%u03FB
&#1020;	ϼ	ϼ	%u03FC
&#1021;	Ͻ	Ͻ	%u03FD
&#1022;	Ͼ	Ͼ	%u03FE
&#1023;	Ͽ	Ͽ	%u03FF
&#1024;	Ѐ	Ѐ	%u0400
&#1025;	Ё	Ё	%u0401
&#1026;	Ђ	Ђ	%u0402
&#1027;	Ѓ	Ѓ	%u0403
&#1028;	Є	Є	%u0404
&#1029;	Ѕ	Ѕ	%u0405
&#1030;	І	І	%u0406
&#1031;	Ї	Ї	%u0407
&#1032;	Ј	Ј	%u0408
&#1033;	Љ	Љ	%u0409
&#1034;	Њ	Њ	%u040A
&#1035;	Ћ	Ћ	%u040B
&#1036;	Ќ	Ќ	%u040C
&#1037;	Ѝ	Ѝ	%u040D
&#1038;	Ў	Ў	%u040E
&#1039;	Џ	Џ	%u040F
&#1040;	А	А	%u0410
&#1041;	Б	Б	%u0411
&#1042;	В	В	%u0412
&#1043;	Г	Г	%u0413
&#1044;	Д	Д	%u0414
&#1045;	Е	Е	%u0415
&#1046;	Ж	Ж	%u0416
&#1047;	З	З	%u0417
&#1048;	И	И	%u0418
&#1049;	Й	Й	%u0419
&#1050;	К	К	%u041A
&#1051;	Л	Л	%u041B
&#1052;	М	М	%u041C
&#1053;	Н	Н	%u041D
&#1054;	О	О	%u041E
&#1055;	П	П	%u041F
&#1056;	Р	Р	%u0420
&#1057;	С	С	%u0421
&#1058;	Т	Т	%u0422
&#1059;	У	У	%u0423
&#1060;	Ф	Ф	%u0424
&#1061;	Х	Х	%u0425
&#1062;	Ц	Ц	%u0426
&#1063;	Ч	Ч	%u0427
&#1064;	Ш	Ш	%u0428
&#1065;	Щ	Щ	%u0429
&#1066;	Ъ	Ъ	%u042A
&#1067;	Ы	Ы	%u042B
&#1068;	Ь	Ь	%u042C
&#1069;	Э	Э	%u042D
&#1070;	Ю	Ю	%u042E
&#1071;	Я	Я	%u042F
&#1072;	а	а	%u0430
&#1073;	б	б	%u0431
&#1074;	в	в	%u0432
&#1075;	г	г	%u0433
&#1076;	д	д	%u0434
&#1077;	е	е	%u0435
&#1078;	ж	ж	%u0436
&#1079;	з	з	%u0437
&#1080;	и	и	%u0438
&#1081;	й	й	%u0439
&#1082;	к	к	%u043A
&#1083;	л	л	%u043B
&#1084;	м	м	%u043C
&#1085;	н	н	%u043D
&#1086;	о	о	%u043E
&#1087;	п	п	%u043F
&#1088;	р	р	%u0440
&#1089;	с	с	%u0441
&#1090;	т	т	%u0442
&#1091;	у	у	%u0443
&#1092;	ф	ф	%u0444
&#1093;	х	х	%u0445
&#1094;	ц	ц	%u0446
&#1095;	ч	ч	%u0447
&#1096;	ш	ш	%u0448
&#1097;	щ	щ	%u0449
&#1098;	ъ	ъ	%u044A
&#1099;	ы	ы	%u044B
&#1100;	ь	ь	%u044C
&#1101;	э	э	%u044D
&#1102;	ю	ю	%u044E
&#1103;	я	я	%u044F
&#1104;	ѐ	ѐ	%u0450
&#1105;	ё	ё	%u0451
&#1106;	ђ	ђ	%u0452
&#1107;	ѓ	ѓ	%u0453
&#1108;	є	є	%u0454
&#1109;	ѕ	ѕ	%u0455
&#1110;	і	і	%u0456
&#1111;	ї	ї	%u0457
&#1112;	ј	ј	%u0458
&#1113;	љ	љ	%u0459
&#1114;	њ	њ	%u045A
&#1115;	ћ	ћ	%u045B
&#1116;	ќ	ќ	%u045C
&#1117;	ѝ	ѝ	%u045D
&#1118;	ў	ў	%u045E
&#1119;	џ	џ	%u045F
&#1120;	Ѡ	Ѡ	%u0460
&#1121;	ѡ	ѡ	%u0461
&#1122;	Ѣ	Ѣ	%u0462
&#1123;	ѣ	ѣ	%u0463
&#1124;	Ѥ	Ѥ	%u0464
&#1125;	ѥ	ѥ	%u0465
&#1126;	Ѧ	Ѧ	%u0466
&#1127;	ѧ	ѧ	%u0467
&#1128;	Ѩ	Ѩ	%u0468
&#1129;	ѩ	ѩ	%u0469
&#1130;	Ѫ	Ѫ	%u046A
&#1131;	ѫ	ѫ	%u046B
&#1132;	Ѭ	Ѭ	%u046C
&#1133;	ѭ	ѭ	%u046D
&#1134;	Ѯ	Ѯ	%u046E
&#1135;	ѯ	ѯ	%u046F
&#1136;	Ѱ	Ѱ	%u0470
&#1137;	ѱ	ѱ	%u0471
&#1138;	Ѳ	Ѳ	%u0472
&#1139;	ѳ	ѳ	%u0473
&#1140;	Ѵ	Ѵ	%u0474
&#1141;	ѵ	ѵ	%u0475
&#1142;	Ѷ	Ѷ	%u0476
&#1143;	ѷ	ѷ	%u0477
&#1144;	Ѹ	Ѹ	%u0478
&#1145;	ѹ	ѹ	%u0479
&#1146;	Ѻ	Ѻ	%u047A
&#1147;	ѻ	ѻ	%u047B
&#1148;	Ѽ	Ѽ	%u047C
&#1149;	ѽ	ѽ	%u047D
&#1150;	Ѿ	Ѿ	%u047E
&#1151;	ѿ	ѿ	%u047F
&#1152;	Ҁ	Ҁ	%u0480
&#1153;	ҁ	ҁ	%u0481
&#1154;	҂	҂	%u0482
&#1155;	҃	҃	%u0483
&#1156;	҄	҄	%u0484
&#1157;	҅	҅	%u0485
&#1158;	҆	҆	%u0486
&#1159;	҇	҇	%u0487
&#1160;	҈	҈	%u0488
&#1161;	҉	҉	%u0489
&#1162;	Ҋ	Ҋ	%u048A
&#1163;	ҋ	ҋ	%u048B
&#1164;	Ҍ	Ҍ	%u048C
&#1165;	ҍ	ҍ	%u048D
&#1166;	Ҏ	Ҏ	%u048E
&#1167;	ҏ	ҏ	%u048F
&#1168;	Ґ	Ґ	%u0490
&#1169;	ґ	ґ	%u0491
&#1170;	Ғ	Ғ	%u0492
&#1171;	ғ	ғ	%u0493
&#1172;	Ҕ	Ҕ	%u0494
&#1173;	ҕ	ҕ	%u0495
&#1174;	Җ	Җ	%u0496
&#1175;	җ	җ	%u0497
&#1176;	Ҙ	Ҙ	%u0498
&#1177;	ҙ	ҙ	%u0499
&#1178;	Қ	Қ	%u049A
&#1179;	қ	қ	%u049B
&#1180;	Ҝ	Ҝ	%u049C
&#1181;	ҝ	ҝ	%u049D
&#1182;	Ҟ	Ҟ	%u049E
&#1183;	ҟ	ҟ	%u049F
&#1184;	Ҡ	Ҡ	%u04A0
&#1185;	ҡ	ҡ	%u04A1
&#1186;	Ң	Ң	%u04A2
&#1187;	ң	ң	%u04A3
&#1188;	Ҥ	Ҥ	%u04A4
&#1189;	ҥ	ҥ	%u04A5
&#1190;	Ҧ	Ҧ	%u04A6
&#1191;	ҧ	ҧ	%u04A7
&#1192;	Ҩ	Ҩ	%u04A8
&#1193;	ҩ	ҩ	%u04A9
&#1194;	Ҫ	Ҫ	%u04AA
&#1195;	ҫ	ҫ	%u04AB
&#1196;	Ҭ	Ҭ	%u04AC
&#1197;	ҭ	ҭ	%u04AD
&#1198;	Ү	Ү	%u04AE
&#1199;	ү	ү	%u04AF
&#1200;	Ұ	Ұ	%u04B0
&#1201;	ұ	ұ	%u04B1
&#1202;	Ҳ	Ҳ	%u04B2
&#1203;	ҳ	ҳ	%u04B3
&#1204;	Ҵ	Ҵ	%u04B4
&#1205;	ҵ	ҵ	%u04B5
&#1206;	Ҷ	Ҷ	%u04B6
&#1207;	ҷ	ҷ	%u04B7
&#1208;	Ҹ	Ҹ	%u04B8
&#1209;	ҹ	ҹ	%u04B9
&#1210;	Һ	Һ	%u04BA
&#1211;	һ	һ	%u04BB
&#1212;	Ҽ	Ҽ	%u04BC
&#1213;	ҽ	ҽ	%u04BD
&#1214;	Ҿ	Ҿ	%u04BE
&#1215;	ҿ	ҿ	%u04BF
&#1216;	Ӏ	Ӏ	%u04C0
&#1217;	Ӂ	Ӂ	%u04C1
&#1218;	ӂ	ӂ	%u04C2
&#1219;	Ӄ	Ӄ	%u04C3
&#1220;	ӄ	ӄ	%u04C4
&#1221;	Ӆ	Ӆ	%u04C5
&#1222;	ӆ	ӆ	%u04C6
&#1223;	Ӈ	Ӈ	%u04C7
&#1224;	ӈ	ӈ	%u04C8
&#1225;	Ӊ	Ӊ	%u04C9
&#1226;	ӊ	ӊ	%u04CA
&#1227;	Ӌ	Ӌ	%u04CB
&#1228;	ӌ	ӌ	%u04CC
&#1229;	Ӎ	Ӎ	%u04CD
&#1230;	ӎ	ӎ	%u04CE
&#1231;	ӏ	ӏ	%u04CF
&#1232;	Ӑ	Ӑ	%u04D0
&#1233;	ӑ	ӑ	%u04D1
&#1234;	Ӓ	Ӓ	%u04D2
&#1235;	ӓ	ӓ	%u04D3
&#1236;	Ӕ	Ӕ	%u04D4
&#1237;	ӕ	ӕ	%u04D5
&#1238;	Ӗ	Ӗ	%u04D6
&#1239;	ӗ	ӗ	%u04D7
&#1240;	Ә	Ә	%u04D8
&#1241;	ә	ә	%u04D9
&#1242;	Ӛ	Ӛ	%u04DA
&#1243;	ӛ	ӛ	%u04DB
&#1244;	Ӝ	Ӝ	%u04DC
&#1245;	ӝ	ӝ	%u04DD
&#1246;	Ӟ	Ӟ	%u04DE
&#1247;	ӟ	ӟ	%u04DF
&#1248;	Ӡ	Ӡ	%u04E0
&#1249;	ӡ	ӡ	%u04E1
&#1250;	Ӣ	Ӣ	%u04E2
&#1251;	ӣ	ӣ	%u04E3
&#1252;	Ӥ	Ӥ	%u04E4
&#1253;	ӥ	ӥ	%u04E5
&#1254;	Ӧ	Ӧ	%u04E6
&#1255;	ӧ	ӧ	%u04E7
&#1256;	Ө	Ө	%u04E8
&#1257;	ө	ө	%u04E9
&#1258;	Ӫ	Ӫ	%u04EA
&#1259;	ӫ	ӫ	%u04EB
&#1260;	Ӭ	Ӭ	%u04EC
&#1261;	ӭ	ӭ	%u04ED
&#1262;	Ӯ	Ӯ	%u04EE
&#1263;	ӯ	ӯ	%u04EF
&#1264;	Ӱ	Ӱ	%u04F0
&#1265;	ӱ	ӱ	%u04F1
&#1266;	Ӳ	Ӳ	%u04F2
&#1267;	ӳ	ӳ	%u04F3
&#1268;	Ӵ	Ӵ	%u04F4
&#1269;	ӵ	ӵ	%u04F5
&#1270;	Ӷ	Ӷ	%u04F6
&#1271;	ӷ	ӷ	%u04F7
&#1272;	Ӹ	Ӹ	%u04F8
&#1273;	ӹ	ӹ	%u04F9
&#1274;	Ӻ	Ӻ	%u04FA
&#1275;	ӻ	ӻ	%u04FB
&#1276;	Ӽ	Ӽ	%u04FC
&#1277;	ӽ	ӽ	%u04FD
&#1278;	Ӿ	Ӿ	%u04FE
&#1279;	ӿ	ӿ	%u04FF
&#1280;	Ԁ	Ԁ	%u0500
&#1281;	ԁ	ԁ	%u0501
&#1282;	Ԃ	Ԃ	%u0502
&#1283;	ԃ	ԃ	%u0503
&#1284;	Ԅ	Ԅ	%u0504
&#1285;	ԅ	ԅ	%u0505
&#1286;	Ԇ	Ԇ	%u0506
&#1287;	ԇ	ԇ	%u0507
&#1288;	Ԉ	Ԉ	%u0508
&#1289;	ԉ	ԉ	%u0509
&#1290;	Ԋ	Ԋ	%u050A
&#1291;	ԋ	ԋ	%u050B
&#1292;	Ԍ	Ԍ	%u050C
&#1293;	ԍ	ԍ	%u050D
&#1294;	Ԏ	Ԏ	%u050E
&#1295;	ԏ	ԏ	%u050F
&#1296;	Ԑ	Ԑ	%u0510
&#1297;	ԑ	ԑ	%u0511
&#1298;	Ԓ	Ԓ	%u0512
&#1299;	ԓ	ԓ	%u0513
&#1300;	Ԕ	Ԕ	%u0514
&#1301;	ԕ	ԕ	%u0515
&#1302;	Ԗ	Ԗ	%u0516
&#1303;	ԗ	ԗ	%u0517
&#1304;	Ԙ	Ԙ	%u0518
&#1305;	ԙ	ԙ	%u0519
&#1306;	Ԛ	Ԛ	%u051A
&#1307;	ԛ	ԛ	%u051B
&#1308;	Ԝ	Ԝ	%u051C
&#1309;	ԝ	ԝ	%u051D
&#1310;	Ԟ	Ԟ	%u051E
&#1311;	ԟ	ԟ	%u051F
&#1312;	Ԡ	Ԡ	%u0520
&#1313;	ԡ	ԡ	%u0521
&#1314;	Ԣ	Ԣ	%u0522
&#1315;	ԣ	ԣ	%u0523
&#1316;	Ԥ	Ԥ	%u0524
&#1317;	ԥ	ԥ	%u0525
&#1318;	Ԧ	Ԧ	%u0526
&#1319;	ԧ	ԧ	%u0527
&#1320;	Ԩ	Ԩ	%u0528
&#1321;	ԩ	ԩ	%u0529
&#1322;	Ԫ	Ԫ	%u052A
&#1323;	ԫ	ԫ	%u052B
&#1324;	Ԭ	Ԭ	%u052C
&#1325;	ԭ	ԭ	%u052D
&#1326;	Ԯ	Ԯ	%u052E
&#1327;	ԯ	ԯ	%u052F
&#1328;	԰	԰	%u0530
&#1329;	Ա	Ա	%u0531
&#1330;	Բ	Բ	%u0532
&#1331;	Գ	Գ	%u0533
&#1332;	Դ	Դ	%u0534
&#1333;	Ե	Ե	%u0535
&#1334;	Զ	Զ	%u0536
&#1335;	Է	Է	%u0537
&#1336;	Ը	Ը	%u0538
&#1337;	Թ	Թ	%u0539
&#1338;	Ժ	Ժ	%u053A
&#1339;	Ի	Ի	%u053B
&#1340;	Լ	Լ	%u053C
&#1341;	Խ	Խ	%u053D
&#1342;	Ծ	Ծ	%u053E
&#1343;	Կ	Կ	%u053F
&#1344;	Հ	Հ	%u0540
&#1345;	Ձ	Ձ	%u0541
&#1346;	Ղ	Ղ	%u0542
&#1347;	Ճ	Ճ	%u0543
&#1348;	Մ	Մ	%u0544
&#1349;	Յ	Յ	%u0545
&#1350;	Ն	Ն	%u0546
&#1351;	Շ	Շ	%u0547
&#1352;	Ո	Ո	%u0548
&#1353;	Չ	Չ	%u0549
&#1354;	Պ	Պ	%u054A
&#1355;	Ջ	Ջ	%u054B
&#1356;	Ռ	Ռ	%u054C
&#1357;	Ս	Ս	%u054D
&#1358;	Վ	Վ	%u054E
&#1359;	Տ	Տ	%u054F
&#1360;	Ր	Ր	%u0550
&#1361;	Ց	Ց	%u0551
&#1362;	Ւ	Ւ	%u0552
&#1363;	Փ	Փ	%u0553
&#1364;	Ք	Ք	%u0554
&#1365;	Օ	Օ	%u0555
&#1366;	Ֆ	Ֆ	%u0556
&#1367;	՗	՗	%u0557
&#1368;	՘	՘	%u0558
&#1369;	ՙ	ՙ	%u0559
&#1370;	՚	՚	%u055A
&#1371;	՛	՛	%u055B
&#1372;	՜	՜	%u055C
&#1373;	՝	՝	%u055D
&#1374;	՞	՞	%u055E
&#1375;	՟	՟	%u055F
&#1376;	ՠ	ՠ	%u0560
&#1377;	ա	ա	%u0561
&#1378;	բ	բ	%u0562
&#1379;	գ	գ	%u0563
&#1380;	դ	դ	%u0564
&#1381;	ե	ե	%u0565
&#1382;	զ	զ	%u0566
&#1383;	է	է	%u0567
&#1384;	ը	ը	%u0568
&#1385;	թ	թ	%u0569
&#1386;	ժ	ժ	%u056A
&#1387;	ի	ի	%u056B
&#1388;	լ	լ	%u056C
&#1389;	խ	խ	%u056D
&#1390;	ծ	ծ	%u056E
&#1391;	կ	կ	%u056F
&#1392;	հ	հ	%u0570
&#1393;	ձ	ձ	%u0571
&#1394;	ղ	ղ	%u0572
&#1395;	ճ	ճ	%u0573
&#1396;	մ	մ	%u0574
&#1397;	յ	յ	%u0575
&#1398;	ն	ն	%u0576
&#1399;	շ	շ	%u0577
&#1400;	ո	ո	%u0578
&#1401;	չ	չ	%u0579
&#1402;	պ	պ	%u057A
&#1403;	ջ	ջ	%u057B
&#1404;	ռ	ռ	%u057C
&#1405;	ս	ս	%u057D
&#1406;	վ	վ	%u057E
&#1407;	տ	տ	%u057F
&#1408;	ր	ր	%u0580
&#1409;	ց	ց	%u0581
&#1410;	ւ	ւ	%u0582
&#1411;	փ	փ	%u0583
&#1412;	ք	ք	%u0584
&#1413;	օ	օ	%u0585
&#1414;	ֆ	ֆ	%u0586
&#1415;	և	և	%u0587
&#1416;	ֈ	ֈ	%u0588
&#1417;	։	։	%u0589
&#1418;	֊	֊	%u058A
&#1419;	֋	֋	%u058B
&#1420;	֌	֌	%u058C
&#1421;	֍	֍	%u058D
&#1422;	֎	֎	%u058E
&#1423;	֏	֏	%u058F
&#1424;	֐	֐	%u0590
&#1425;	֑	֑	%u0591
&#1426;	֒	֒	%u0592
&#1427;	֓	֓	%u0593
&#1428;	֔	֔	%u0594
&#1429;	֕	֕	%u0595
&#1430;	֖	֖	%u0596
&#1431;	֗	֗	%u0597
&#1432;	֘	֘	%u0598
&#1433;	֙	֙	%u0599
&#1434;	֚	֚	%u059A
&#1435;	֛	֛	%u059B
&#1436;	֜	֜	%u059C
&#1437;	֝	֝	%u059D
&#1438;	֞	֞	%u059E
&#1439;	֟	֟	%u059F
&#1440;	֠	֠	%u05A0
&#1441;	֡	֡	%u05A1
&#1442;	֢	֢	%u05A2
&#1443;	֣	֣	%u05A3
&#1444;	֤	֤	%u05A4
&#1445;	֥	֥	%u05A5
&#1446;	֦	֦	%u05A6
&#1447;	֧	֧	%u05A7
&#1448;	֨	֨	%u05A8
&#1449;	֩	֩	%u05A9
&#1450;	֪	֪	%u05AA
&#1451;	֫	֫	%u05AB
&#1452;	֬	֬	%u05AC
&#1453;	֭	֭	%u05AD
&#1454;	֮	֮	%u05AE
&#1455;	֯	֯	%u05AF
&#1456;	ְ	ְ	%u05B0
&#1457;	ֱ	ֱ	%u05B1
&#1458;	ֲ	ֲ	%u05B2
&#1459;	ֳ	ֳ	%u05B3
&#1460;	ִ	ִ	%u05B4
&#1461;	ֵ	ֵ	%u05B5
&#1462;	ֶ	ֶ	%u05B6
&#1463;	ַ	ַ	%u05B7
&#1464;	ָ	ָ	%u05B8
&#1465;	ֹ	ֹ	%u05B9
&#1466;	ֺ	ֺ	%u05BA
&#1467;	ֻ	ֻ	%u05BB
&#1468;	ּ	ּ	%u05BC
&#1469;	ֽ	ֽ	%u05BD
&#1470;	־	־	%u05BE
&#1471;	ֿ	ֿ	%u05BF
&#1472;	׀	׀	%u05C0
&#1473;	ׁ	ׁ	%u05C1
&#1474;	ׂ	ׂ	%u05C2
&#1475;	׃	׃	%u05C3
&#1476;	ׄ	ׄ	%u05C4
&#1477;	ׅ	ׅ	%u05C5
&#1478;	׆	׆	%u05C6
&#1479;	ׇ	ׇ	%u05C7
&#1480;	׈	׈	%u05C8
&#1481;	׉	׉	%u05C9
&#1482;	׊	׊	%u05CA
&#1483;	׋	׋	%u05CB
&#1484;	׌	׌	%u05CC
&#1485;	׍	׍	%u05CD
&#1486;	׎	׎	%u05CE
&#1487;	׏	׏	%u05CF
&#1488;	א	א	%u05D0
&#1489;	ב	ב	%u05D1
&#1490;	ג	ג	%u05D2
&#1491;	ד	ד	%u05D3
&#1492;	ה	ה	%u05D4
&#1493;	ו	ו	%u05D5
&#1494;	ז	ז	%u05D6
&#1495;	ח	ח	%u05D7
&#1496;	ט	ט	%u05D8
&#1497;	י	י	%u05D9
&#1498;	ך	ך	%u05DA
&#1499;	כ	כ	%u05DB
&#1500;	ל	ל	%u05DC
&#1501;	ם	ם	%u05DD
&#1502;	מ	מ	%u05DE
&#1503;	ן	ן	%u05DF
&#1504;	נ	נ	%u05E0
&#1505;	ס	ס	%u05E1
&#1506;	ע	ע	%u05E2
&#1507;	ף	ף	%u05E3
&#1508;	פ	פ	%u05E4
&#1509;	ץ	ץ	%u05E5
&#1510;	צ	צ	%u05E6
&#1511;	ק	ק	%u05E7
&#1512;	ר	ר	%u05E8
&#1513;	ש	ש	%u05E9
&#1514;	ת	ת	%u05EA
&#1515;	׫	׫	%u05EB
&#1516;	׬	׬	%u05EC
&#1517;	׭	׭	%u05ED
&#1518;	׮	׮	%u05EE
&#1519;	ׯ	ׯ	%u05EF
&#1520;	װ	װ	%u05F0
&#1521;	ױ	ױ	%u05F1
&#1522;	ײ	ײ	%u05F2
&#1523;	׳	׳	%u05F3
&#1524;	״	״	%u05F4
&#1525;	׵	׵	%u05F5
&#1526;	׶	׶	%u05F6
&#1527;	׷	׷	%u05F7
&#1528;	׸	׸	%u05F8
&#1529;	׹	׹	%u05F9
